system:index,date,geoid10,median,.geo
2010_06_03_00030000000000003039,2010_06_03,29095016200,37.83000000000004,"{""type"":""Polygon"",""coordinates"":[[[-94.57074899205905,39.081861985703426],[-94.57077898377956,39.08132198408318],[-94.5708799796429,39.079448991538285],[-94.57097003379053,39.07772595907668],[-94.57104898873018,39.07610801199443],[-94.5711410111331,39.074119016182635],[-94.57122697232134,39.072303036303445],[-94.5713130123652,39.07050199391368],[-94.57000896539097,39.07045702476226],[-94.56868298820817,39.070410994533454],[-94.56682998062128,39.07034802920469],[-94.56673300665041,39.07034396636971],[-94.56555201615504,39.07030397307466],[-94.56440198411546,39.070266010547876],[-94.56323497568336,39.070224971275884],[-94.56209097450113,39.07018500494054],[-94.56199802300743,39.07198799996585],[-94.56197598542015,39.0724190222045],[-94.56196103134816,39.07270897015139],[-94.56192097019672,39.07285902324901],[-94.56185399179562,39.07379103489714],[-94.56189901134634,39.07393403559162],[-94.5621319802489,39.07473296286974],[-94.56225499767865,39.07545399964494],[-94.56228498469525,39.07560297691063],[-94.5624649858501,39.07650198533752],[-94.56256203088371,39.0773679729596],[-94.5622749890212,39.07737902312798],[-94.56170799333542,39.07740100323356],[-94.56160701457686,39.07921196048732],[-94.56152500390768,39.081018001794384],[-94.56147101230653,39.082201036715105],[-94.56146802151972,39.08226000098321],[-94.5614119836497,39.08338400849509],[-94.56134602903995,39.08464098371869],[-94.5613169869998,39.0851130366976],[-94.5625340113752,39.0851540202515],[-94.56363000998316,39.0851920258486],[-94.56480096241802,39.085230978364365],[-94.56483000632717,39.084757975117036],[-94.56581798077569,39.08479003011078],[-94.56594399761465,39.084793035796814],[-94.5663270087455,39.08480503037177],[-94.56663697740234,39.08481496180422],[-94.56792401961657,39.0848599724847],[-94.56860002223763,39.08488302626569],[-94.56899800816444,39.084897995094686],[-94.5694380316101,39.08491401476835],[-94.57002400040295,39.084935981801515],[-94.57058297519785,39.08495701926325],[-94.57064996439641,39.08367701598353],[-94.57074899205905,39.081861985703426]]]}"
2010_06_03_00030000000000002fc8,2010_06_03,29095005400,38.01000000000005,"{""type"":""Polygon"",""coordinates"":[[[-94.56049098753081,39.07012903335395],[-94.56095400216472,39.07014499080825],[-94.56209097450113,39.07018500494054],[-94.56218801886426,39.06837299411248],[-94.56228002621104,39.066558034879456],[-94.5623680196967,39.06474698883209],[-94.56245703650794,39.0629369622901],[-94.5612870005194,39.06289497780268],[-94.56088002029834,39.06288000306999],[-94.56055198277282,39.062869006531194],[-94.5601339896606,39.06285398297546],[-94.55896896206602,39.062812969403126],[-94.55783496719577,39.06277200289501],[-94.55666503112191,39.06273496542377],[-94.55550102256026,39.06270101698305],[-94.55436796600466,39.06266799240368],[-94.55434396416037,39.06266702387652],[-94.55320298385405,39.06262699790133],[-94.55310697860821,39.064440010740476],[-94.5530130195408,39.06623599530517],[-94.55293196620505,39.06805300374684],[-94.55284501106242,39.06986598634862],[-94.55401203154992,39.069906020225595],[-94.55514901543734,39.06994396088752],[-94.55630097572264,39.06998297211832],[-94.55746201092761,39.070022966350535],[-94.55861496486398,39.070063026155125],[-94.5595880298792,39.07009700576856],[-94.56008299015707,39.0701140205302],[-94.56016696621701,39.07011700978234],[-94.56049098753081,39.07012903335395]]]}"
2010_06_03_00030000000000002fc9,2010_06_03,29095005200,37.110000000000014,"{""type"":""Polygon"",""coordinates"":[[[-94.56868298820817,39.070410994533454],[-94.57000896539097,39.07045702476226],[-94.5713130123652,39.07050199391368],[-94.57141999189669,39.0686700172812],[-94.57146903409249,39.06788102643788],[-94.57153098633589,39.06687202143418],[-94.57163198360121,39.06502399176938],[-94.57164103636606,39.06484101969667],[-94.57172298363676,39.06324603298315],[-94.57058596648815,39.063206976668184],[-94.57052000070367,39.063204003671046],[-94.56949596698483,39.06317003704712],[-94.56938001758095,39.06316703473734],[-94.56837702230348,39.06313596405406],[-94.56823596528302,39.063132038226485],[-94.5670979980592,39.06309703048962],[-94.56588299629746,39.063057961017066],[-94.5647760114299,39.06302100564912],[-94.56356798806931,39.0629779897549],[-94.56245703650794,39.0629369622901],[-94.5623680196967,39.06474698883209],[-94.56228002621104,39.066558034879456],[-94.56218801886426,39.06837299411248],[-94.56209097450113,39.07018500494054],[-94.56323497568336,39.070224971275884],[-94.56440198411546,39.070266010547876],[-94.56555201615504,39.07030397307466],[-94.56673300665041,39.07034396636971],[-94.56682998062128,39.07034802920469],[-94.56868298820817,39.070410994533454]]]}"
2010_06_03_00030000000000003038,2010_06_03,29095005300,38.01000000000005,"{""type"":""Polygon"",""coordinates"":[[[-94.5720119648669,39.0579379725058],[-94.57201597959929,39.057869028675455],[-94.57211996914378,39.056079969470865],[-94.57086998238225,39.05604096053525],[-94.56973597438069,39.056005019352305],[-94.5687239989483,39.055966993494735],[-94.56868196490794,39.0559649872023],[-94.5686370184327,39.05596301541946],[-94.56748597631254,39.0559150233439],[-94.56634503379149,39.055877018807294],[-94.56624601418063,39.05587398541712],[-94.5651499626178,39.05583000971327],[-94.56398899862394,39.05578697196713],[-94.56286497306881,39.05574898619849],[-94.5627950026396,39.056913990797725],[-94.56273998658385,39.057778011189484],[-94.56264301993787,39.05934595901123],[-94.56255101197414,39.06112597697572],[-94.56245703650794,39.0629369622901],[-94.56356798806931,39.0629779897549],[-94.5647760114299,39.06302100564912],[-94.56588299629746,39.063057961017066],[-94.5670979980592,39.06309703048962],[-94.56823596528302,39.063132038226485],[-94.56837702230348,39.06313596405406],[-94.56938001758095,39.06316703473734],[-94.56949596698483,39.06317003704712],[-94.57052000070367,39.063204003671046],[-94.57058596648815,39.063206976668184],[-94.57172298363676,39.06324603298315],[-94.57181500718457,39.061451007252444],[-94.57181799854288,39.06140297220991],[-94.57191600497939,39.05965700817352],[-94.57195599480521,39.058936014852044],[-94.5720119648669,39.0579379725058]]]}"
2010_06_03_00030000000000003035,2010_06_03,29095005100,39.210000000000036,"{""type"":""Polygon"",""coordinates"":[[[-94.57195599480521,39.058936014852044],[-94.57191600497939,39.05965700817352],[-94.57181799854288,39.06140297220991],[-94.5730010149895,39.06144497919697],[-94.57299802356586,39.06150697702116],[-94.57413698069718,39.061546967767214],[-94.57530501129567,39.06159001352813],[-94.57646598166617,39.06163403791861],[-94.57762603216669,39.061681973943216],[-94.57814296527998,39.061702975162405],[-94.57828396936542,39.06170903324682],[-94.57878902050935,39.06172700642219],[-94.57995896220132,39.061768025890366],[-94.58076400067473,39.06180096715123],[-94.58115097452283,39.06181697413247],[-94.58160700096305,39.06183701561226],[-94.58163203843738,39.06183801722551],[-94.58227097035035,39.06186103884131],[-94.58279802595277,39.061877972781765],[-94.58344303434234,39.06189900422665],[-94.58459102967902,39.06194099598445],[-94.58578400997811,39.06198303544681],[-94.58589298658379,39.060180021720896],[-94.58599897126724,39.05838199362449],[-94.58610503489852,39.05657597806599],[-94.58504401422375,39.0565380375285],[-94.58492102378196,39.056533977308554],[-94.58377498989259,39.056491029990475],[-94.58260299746094,39.056447026398395],[-94.5825430009485,39.05644398414476],[-94.58145102878109,39.0564030191615],[-94.57999998147655,39.05634898374877],[-94.57923597304594,39.0563270376122],[-94.57797298931841,39.05629099550843],[-94.5768000201301,39.056253000791735],[-94.57563896387813,39.0562100052086],[-94.57446903670993,39.05616702777901],[-94.57332503438104,39.05612500732427],[-94.57211996914378,39.056079969470865],[-94.57201597959929,39.057869028675455],[-94.5720119648669,39.0579379725058],[-94.57195599480521,39.058936014852044]]]}"
2010_06_03_00030000000000003036,2010_06_03,29095017800,36.410000000000025,"{""type"":""Polygon"",""coordinates"":[[[-94.58302699045485,39.07094801876207],[-94.58412702561972,39.07098696306264],[-94.58531999571167,39.071032006231086],[-94.58536401114873,39.07005096773595],[-94.58537503469849,39.069805982621226],[-94.58540196366519,39.069210000142554],[-94.58544700278554,39.06832701851516],[-94.5854629869579,39.06799703344133],[-94.58549401043884,39.06737501314572],[-94.58552999454938,39.0666859988968],[-94.58557999439248,39.06575400104418],[-94.58559101798615,39.06553597113422],[-94.58562999428169,39.06480199866337],[-94.5856810178382,39.0637870328948],[-94.58578400997811,39.06198303544681],[-94.58459102967902,39.06194099598445],[-94.58344303434234,39.06189900422665],[-94.58279802595277,39.061877972781765],[-94.58227097035035,39.06186103884131],[-94.58163203843738,39.06183801722551],[-94.58160700096305,39.06183701561226],[-94.58115097452283,39.06181697413247],[-94.58076400067473,39.06180096715123],[-94.57995896220132,39.061768025890366],[-94.57878902050935,39.06172700642219],[-94.57828396936542,39.06170903324682],[-94.57814296527998,39.061702975162405],[-94.57762603216669,39.061681973943216],[-94.57646598166617,39.06163403791861],[-94.57530501129567,39.06159001352813],[-94.57413698069718,39.061546967767214],[-94.57299802356586,39.06150697702116],[-94.5730010149895,39.06144497919697],[-94.57181799854288,39.06140297220991],[-94.57181500718457,39.061451007252444],[-94.57172298363676,39.06324603298315],[-94.57164103636606,39.06484101969667],[-94.57163198360121,39.06502399176938],[-94.57153098633589,39.06687202143418],[-94.57146903409249,39.06788102643788],[-94.57141999189669,39.0686700172812],[-94.5713130123652,39.07050199391368],[-94.57258599589768,39.07054697407148],[-94.57392797066582,39.07059899609119],[-94.5740000022805,39.07060101499069],[-94.57540097718538,39.07065499351247],[-94.5765450233416,39.07069902951891],[-94.57771798701123,39.07074398353723],[-94.57889798305685,39.07078999844123],[-94.58004296908042,39.07083499389437],[-94.58092500980398,39.07086902908075],[-94.58122199220043,39.07087999182313],[-94.58179698686706,39.070902024322635],[-94.58238001863172,39.07092397669656],[-94.58302699045485,39.07094801876207]]]}"
2010_06_03_0003000000000000303a,2010_06_03,29095004300,37.83000000000004,"{""type"":""Polygon"",""coordinates"":[[[-94.57966497851531,39.081660028257566],[-94.58060700739254,39.081677979614504],[-94.58065503437645,39.080930036062455],[-94.58074597083136,39.07943202336929],[-94.58081501965269,39.07843601234774],[-94.5808350178454,39.07818396532159],[-94.58082596354464,39.078088986080225],[-94.58078596717324,39.07796999825767],[-94.58010800167418,39.07681297510591],[-94.57986802706654,39.076402964559904],[-94.57938398702869,39.0755739724959],[-94.57934296821959,39.07546699609215],[-94.57933296939751,39.075366973295],[-94.57938603403342,39.07442498523779],[-94.5797640226535,39.07442500201956],[-94.57982598438048,39.07439600181524],[-94.57984503742892,39.07438502298088],[-94.57988298608255,39.07432698187162],[-94.57996896113886,39.07263903764873],[-94.58004296908042,39.07083499389437],[-94.57889798305685,39.07078999844123],[-94.57771798701123,39.07074398353723],[-94.5765450233416,39.07069902951891],[-94.57540097718538,39.07065499351247],[-94.5740000022805,39.07060101499069],[-94.57392797066582,39.07059899609119],[-94.57258599589768,39.07054697407148],[-94.5713130123652,39.07050199391368],[-94.57122697232134,39.072303036303445],[-94.5711410111331,39.074119016182635],[-94.57104898873018,39.07610801199443],[-94.57097003379053,39.07772595907668],[-94.5708799796429,39.079448991538285],[-94.57077898377956,39.08132198408318],[-94.57074899205905,39.081861985703426],[-94.57064996439641,39.08367701598353],[-94.57058297519785,39.08495701926325],[-94.57184901421525,39.0850070107671],[-94.57324300596511,39.085051028036716],[-94.57464396129788,39.085093011017314],[-94.57578499989509,39.085064980183674],[-94.57640803883791,39.085181024827236],[-94.57833002605572,39.085262030214615],[-94.57829900667367,39.08497497394419],[-94.57828396936542,39.08465802648758],[-94.57821901768921,39.08435802218952],[-94.5781930370405,39.08404395893879],[-94.5782609803996,39.08325600509886],[-94.578293967994,39.08197603565652],[-94.57861597205822,39.08163198609875],[-94.57907701592623,39.08165000246871],[-94.57966497851531,39.081660028257566]]]}"
2010_06_03_0003000000000000303b,2010_06_03,29095016600,37.59000000000003,"{""type"":""Polygon"",""coordinates"":[[[-94.56256203088371,39.0773679729596],[-94.5624649858501,39.07650198533752],[-94.56228498469525,39.07560297691063],[-94.56225499767865,39.07545399964494],[-94.5621319802489,39.07473296286974],[-94.56189901134634,39.07393403559162],[-94.56185399179562,39.07379103489714],[-94.56192097019672,39.07285902324901],[-94.56196103134816,39.07270897015139],[-94.56197598542015,39.0724190222045],[-94.56199802300743,39.07198799996585],[-94.56209097450113,39.07018500494054],[-94.56095400216472,39.07014499080825],[-94.56049098753081,39.07012903335395],[-94.56016696621701,39.07011700978234],[-94.56008299015707,39.0701140205302],[-94.5595880298792,39.07009700576856],[-94.55861496486398,39.070063026155125],[-94.55746201092761,39.070022966350535],[-94.55630097572264,39.06998297211832],[-94.55514901543734,39.06994396088752],[-94.55401203154992,39.069906020225595],[-94.55284501106242,39.06986598634862],[-94.55275097375777,39.07166499474746],[-94.55269297761039,39.072755002505026],[-94.552654025009,39.07350301257381],[-94.55263899482081,39.07380803067366],[-94.55258603508103,39.074890984276614],[-94.55256699162116,39.07528403718248],[-94.55253102940326,39.0760169894689],[-94.55248003706521,39.07709395963764],[-94.55239796153566,39.078906020231656],[-94.552315020523,39.080722028824695],[-94.55226497268694,39.081804038193575],[-94.55220398678578,39.08310003460781],[-94.55214599122486,39.084331014878934],[-94.55328403759587,39.08437001951156],[-94.55442903304011,39.0844109625682],[-94.55556901615174,39.08445002766248],[-94.55674601135242,39.08448898609031],[-94.55787801591129,39.08452596024156],[-94.56021599822229,39.084606028675545],[-94.56134602903995,39.08464098371869],[-94.5614119836497,39.08338400849509],[-94.56146802151972,39.08226000098321],[-94.56147101230653,39.082201036715105],[-94.56152500390768,39.081018001794384],[-94.56160701457686,39.07921196048732],[-94.56170799333542,39.07740100323356],[-94.5622749890212,39.07737902312798],[-94.56256203088371,39.0773679729596]]]}"
2010_06_03_00030000000000003034,2010_06_03,29095016700,36.410000000000025,"{""type"":""Polygon"",""coordinates"":[[[-94.59224101544605,39.07129600314098],[-94.59380902169444,39.07137198497289],[-94.59448196077511,39.07140501511977],[-94.59451897463546,39.07073599555243],[-94.59459000981687,39.06955598483067],[-94.59463702539273,39.06877700675855],[-94.5946970352824,39.06772399630679],[-94.59474601978219,39.0668040355163],[-94.59481303883989,39.067650977035655],[-94.59492297862491,39.06587101688689],[-94.59499102169798,39.06485000887216],[-94.59509796920051,39.06313402916468],[-94.59515797959983,39.062091001190204],[-94.5952109809657,39.061145018363845],[-94.59531099854301,39.05955400624247],[-94.59539999071558,39.058111986391125],[-94.59543598139672,39.05755298897214],[-94.59550103244767,39.05690898320723],[-94.5953869962742,39.056902995279444],[-94.5943060271543,39.056861005898014],[-94.59306797145979,39.05682200746531],[-94.59149896289293,39.05676696241705],[-94.59076802388115,39.05674300017069],[-94.58952902521386,39.05669797087524],[-94.58945799665754,39.05669600025778],[-94.5884390384697,39.05665897791513],[-94.5873109622625,39.05661901037986],[-94.58610503489852,39.05657597806599],[-94.58599897126724,39.05838199362449],[-94.58589298658379,39.060180021720896],[-94.58578400997811,39.06198303544681],[-94.5856810178382,39.0637870328948],[-94.58562999428169,39.06480199866337],[-94.58559101798615,39.06553597113422],[-94.58557999439248,39.06575400104418],[-94.58552999454938,39.0666859988968],[-94.58549401043884,39.06737501314572],[-94.5854629869579,39.06799703344133],[-94.58544700278554,39.06832701851516],[-94.58540196366519,39.069210000142554],[-94.58537503469849,39.069805982621226],[-94.58536401114873,39.07005096773595],[-94.58531999571167,39.071032006231086],[-94.5865819694697,39.07107900821431],[-94.58768302166047,39.071120972023834],[-94.58856699777863,39.07115399989409],[-94.58859298339823,39.07115496240416],[-94.58992503868092,39.07120599691125],[-94.59115199794125,39.07125297564503],[-94.59213903478978,39.07129096877693],[-94.59224101544605,39.07129600314098]]]}"
2010_06_03_0003000000000000303e,2010_06_03,29095004400,37.29000000000002,"{""type"":""Polygon"",""coordinates"":[[[-94.59113498836835,39.08448996569121],[-94.59264303372248,39.08408000769095],[-94.59287298479062,39.08401696127283],[-94.59387997719462,39.08373501303762],[-94.59388296977048,39.08369698751125],[-94.59394101002427,39.082262993210804],[-94.59396400563723,39.08145902188136],[-94.59398700125995,39.081301960136045],[-94.59405803574506,39.081115964868445],[-94.59433996954077,39.0806279953241],[-94.59438296851096,39.08049996512512],[-94.5944029717065,39.08037101486433],[-94.59440100288772,39.0802499869351],[-94.59433398433883,39.08004800381715],[-94.5942539717026,39.07989800309087],[-94.59423097596677,39.0798549696897],[-94.59415096348239,39.079742006212626],[-94.59401897464197,39.079563038076024],[-94.59394203380134,39.07934597704316],[-94.5939320322876,39.07921098702804],[-94.59397203835364,39.07867802980986],[-94.59398101609692,39.07855601299779],[-94.5938739920434,39.07799099970166],[-94.59390903668817,39.07788096385818],[-94.59394203380134,39.077703989209866],[-94.5940319687558,39.076359024624175],[-94.59413899312086,39.0747609759929],[-94.59414300949187,39.07466500395127],[-94.59418301571345,39.07374501990127],[-94.59424397013137,39.073300029785734],[-94.59436698171037,39.072811985199706],[-94.59440801188292,39.07258002995296],[-94.59448196077511,39.07140501511977],[-94.59380902169444,39.07137198497289],[-94.59224101544605,39.07129600314098],[-94.59213903478978,39.07129096877693],[-94.59115199794125,39.07125297564503],[-94.58992503868092,39.07120599691125],[-94.58859298339823,39.07115496240416],[-94.58856699777863,39.07115399989409],[-94.58768302166047,39.071120972023834],[-94.5865819694697,39.07107900821431],[-94.58531999571167,39.071032006231086],[-94.58412702561972,39.07098696306264],[-94.58302699045485,39.07094801876207],[-94.58238001863172,39.07092397669656],[-94.58179698686706,39.070902024322635],[-94.58122199220043,39.07087999182313],[-94.58092500980398,39.07086902908075],[-94.58004296908042,39.07083499389437],[-94.57996896113886,39.07263903764873],[-94.57988298608255,39.07432698187162],[-94.57984503742892,39.07438502298088],[-94.57982598438048,39.07439600181524],[-94.5797640226535,39.07442500201956],[-94.57938603403342,39.07442498523779],[-94.57933296939751,39.075366973295],[-94.57934296821959,39.07546699609215],[-94.57938398702869,39.0755739724959],[-94.57986802706654,39.076402964559904],[-94.58010800167418,39.07681297510591],[-94.58078596717324,39.07796999825767],[-94.58082596354464,39.078088986080225],[-94.5808350178454,39.07818396532159],[-94.58081501965269,39.07843601234774],[-94.58074597083136,39.07943202336929],[-94.58065503437645,39.080930036062455],[-94.58060700739254,39.081677979614504],[-94.57966497851531,39.081660028257566],[-94.57907701592623,39.08165000246871],[-94.57861597205822,39.08163198609875],[-94.57904103609806,39.08284499839264],[-94.57922597424358,39.0831840044427],[-94.57942398236574,39.08349196299888],[-94.57947303180558,39.083567998573024],[-94.57967300911436,39.08375596681079],[-94.5799240053003,39.08389498498393],[-94.58020200776475,39.08397901558151],[-94.58052103132434,39.08400798502028],[-94.58172297653105,39.08405102484419],[-94.58329902484594,39.08410800558636],[-94.5836869616336,39.084083982984694],[-94.58411001824956,39.084027017515425],[-94.5844489855915,39.083957013305906],[-94.58586401012391,39.08359401021744],[-94.58655897698539,39.08344301160704],[-94.58705599477734,39.0833900311913],[-94.58769499059775,39.08336097533907],[-94.5886859805207,39.08336797475203],[-94.58925601463034,39.08338000297082],[-94.58922097299066,39.084801969915326],[-94.58921097234708,39.085237978775005],[-94.58920798002889,39.085336987797845],[-94.58955501129428,39.085166017006244],[-94.58974896234224,39.08506497775911],[-94.59050603165528,39.0847160343846],[-94.59100300686356,39.0845249706922],[-94.59113498836835,39.08448996569121]]]}"
